title,duration,rank,explicit_lyrics,position,type,artist_id,artist_name,album_id,album_title,duration_min,artist_popularity
melodrama,176,996934,False,1,track,292,disiz,822345001,melodrama,2.93,1
Golden,192,979012,False,2,track,330311461,HUNTR/X,771853201,KPop Demon Hunters (Soundtrack from the Netflix Film),3.2,1
Nostalgique,207,974216,True,3,track,1191615,Jul,855003242,Nostalgique,3.45,2
MON BÉBÉ,130,997284,False,4,track,172662567,RnBoi,837893162,MON BÉBÉ,2.17,1
Un monde à l'autre,155,991842,True,5,track,344313291,GP Explorer,815406321,Un monde à l'autre,2.58,1
Ballon D'or,206,998585,True,6,track,80268952,Le Crime,838994352,Après La Vague,3.43,1
PARISIENNE,158,998975,False,7,track,4429712,GIMS,796651651,PARISIENNE,2.63,1
Skyfall,286,967275,False,8,track,75798,Adele,8307448,Skyfall,4.77,1
Respire fort,171,976961,False,9,track,334164821,Jeanne,778142971,Respire fort,2.85,1
Tu tenenew,193,992923,True,10,track,1191615,Jul,867647822,TP sur TP,3.22,2
